id,luas_m2,harga_juta,kota,kamar,tahun_bangun,kondisi
1,297.0,1084.0,Jogja,2.0,2000.0,baik
2,254.0,761.0,Medan,1.0,1995.0,bagus
3,249.7,895.0,Depok,1.0,1983.0,baik
4,49.7,178.0,Ygy,5.0,2013.0,baik
5,133.4,424.0,Medan,5.0,2004.0,sedang
6,153.3,814.0,Jakarta,1.0,2006.0,sedang
7,114.3,655.0,Jakarta,3.0,2011.0,baik
8,193.8,333.0,Yogyakarta,1.0,1989.0,baik sekali
9,81.2,307.0,Yogyakarta,1.0,1996.0,sedang
10,69.1,237.0,Bandung,5.0,1980.0,baik
11,159.6,630.0,Surabaya,6.0,2023.0,sedang
12,81.2,345.0,Dpk,5.0,2008.0,baik
13,84.2,382.0,Sby,2.0,2006.0,sedang
14,193.8,802.0,Jakarta,3.0,2004.0,baik
15,193.8,503.0,Makassar,6.0,2016.0,sedang
16,200.5,495.0,Mdn,6.0,1994.0,baik
17,303.3,1043.0,Bandung,4.0,1993.0,sedang
18,51.5,183.0,Yogyakarta,6.0,2020.0,sedang
19,193.8,655.0,Bandung,1.0,2015.0,rusak
20,297.7,655.0,Surabaya,1.0,2009.0,baik
21,195.0,511.0,Medan,1.0,2014.0,sedang
22,193.8,655.0,Semarang,2.0,1984.0,baik
23,300.9,655.0,Semarang,5.0,2000.0,baik
24,53.4,156.0,Medan,4.0,2002.0,sedang
25,97.7,349.0,Yogyakarta,5.0,1995.0,sedang
26,193.8,916.0,Semarang,4.0,2013.0,baik sekali
27,113.8,-422.75,Bandung,6.0,1993.0,baik sekali
28,248.8,955.0,Yogyakarta,6.0,1993.0,baik
29,226.3,664.0,Medan,3.0,2016.0,baik
30,110.3,455.0,Yogyakarta,6.0,1986.0,baik
31,189.4,819.0,Jogja,6.0,2012.0,sedang
32,67.9,195.0,Makassar,2.0,1980.0,rusak
33,77.4,237.0,Medan,5.0,2007.0,cukup
34,288.6,1598.0,Jakarta,4.0,2016.0,rusak
35,294.9,934.0,Medan,4.0,2017.0,baik
36,278.4,863.0,Medan,1.0,2021.0,sedang
37,193.8,631.0,Smg,4.0,1996.0,sedang
38,40.4,170.0,Ygy,6.0,2005.0,baik
39,69.1,237.0,Bandung,5.0,1980.0,baik
40,244.1,665.0,Makassar,3.0,2004.0,baik sekali
41,125.4,735.0,Jakarta,4.0,1990.0,baik
42,193.2,641.0,Bandung,1.0,2004.0,sedang
43,223.2,0.0,Medan,6.0,1993.0,sedang
44,343.6,1687.0,Jakarta,3.0,2011.0,baik
45,280.1,1008.0,Semarang,6.0,2005.0,sedang
46,260.6,974.0,Depok,5.0,2003.0,baik
47,135.8,522.0,Bdg,1.0,1999.0,baik
48,153.3,422.0,Makassar,1.0,2008.0,sedang
49,292.4,1323.0,Surabaya,4.0,2019.0,rusak
50,93.0,655.0,Bandung,3.0,2010.0,rusak
51,125.9,751.0,Jakarta,5.0,1985.0,cukup
52,52.3,208.0,Yogyakarta,2.0,1989.0,sedang
53,193.8,916.0,Jogja,1.0,2005.0,sedang
54,325.2,783.0,Makassar,2.0,2011.0,baik
55,194.4,456.0,Makassar,1.0,2013.0,sedang
56,70.3,181.0,Makassar,4.0,1985.0,sedang
57,202.7,746.0,Depok,6.0,2017.0,baik
58,193.8,1071.0,Jogja,4.0,1997.0,baik
59,193.8,655.0,Surabaya,2.0,2018.0,baik
60,297.7,1250.0,Surabaya,1.0,2009.0,baik
61,270.5,880.0,Bandung,5.0,2020.0,baik
62,193.8,495.0,Medan,6.0,1994.0,baik sekali
63,169.7,532.0,Medan,1.0,1994.0,sedang
64,133.4,506.0,Bandung,3.0,1998.0,rusak
65,80.1,315.0,Yogyakarta,1.0,1991.0,baik
66,111.7,457.0,Depok,5.0,1998.0,baik sekali
67,193.8,655.0,Medan,4.0,2022.0,sedang
68,41.6,655.0,Makassar,1.0,1981.0,baik
69,118.4,655.0,Jakarta,4.0,1981.0,baik
70,329.0,912.0,Medan,5.0,2002.0,baik
71,194.4,456.0,Makassar,1.0,2013.0,sedang
